DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$)
2000-0919-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Alabama, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, New York, Pennsylvania, Massachussetts provinces",,Cold wave,,,Kph,,,2000,1,22,2000,1,25,4,,,,,350000
2000-0937-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tuscaloosa district (Alabama province), Connecticut, Florida, Georgia, Massachusetts, Mississippi, Norh Carolina, New Jersey, New York, Pennsylvania, Rhode Island provinces",,,,,Kph,,,2000,12,16,2000,12,17,12,75,,,75,500000
2001-0011-IND,Meteorological,Extreme temperature,Cold wave,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Bihar, Punjab provinces",,,,-22,°C,,,2001,1,,2001,1,,125,,,,,
2001-0033-IND,Geophysical,Earthquake,Ground movement,,IND,India,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",,,118929,7.7,Moment Magnitude,23.419,70.232,2001,1,26,2001,1,26,20005,166812,4365000,1790000,6321812,2623000
2001-0052-CAN,Meteorological,Storm,Storm (General),,CAN,Canada,Northern America,Americas,Quebec province,,,,120,Kph,,,2001,2,10,2001,2,10,11,,,30,30,
2001-0099-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",,,,6.8,Moment Magnitude,47.149,-122.7266667,2001,2,28,2001,2,28,1,400,,,400,2000000
2001-0102-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)",,,,,Kph,,,2001,2,24,2001,2,24,7,30,900,,930,250000
2001-0106-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces",,Transport accident,,,Kph,,,2001,2,22,2001,2,22,11,100,,,100,
2001-0145-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)",,Hail,,,Kph,,,2001,4,10,2001,4,11,4,18,765,30,813,23000
2001-0194-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Marion, Clay districts (Florida province)",,,,,Kph,,,2001,3,29,2001,3,29,,,492,,492,1800
2001-0242-USA,Meteorological,Storm,Tropical cyclone,Allison,USA,United States of America,Northern America,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Flood,,,Kph,,,2001,6,5,2001,6,17,41,,102000,70000,172000,6000000
2001-0243-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Silchar city (Cachar district, Assam province), Patharkandi village (Karimganj district, Assam province), West Tripura district (Tripura province)",Moosonal rain,,,,Km2,,,2001,6,5,2001,6,22,5,,700000,,700000,
2001-0262-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",Ice jam/break,,,24,Km2,,,2001,2,27,2001,3,1,,,200,,200,
2001-0266-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces",,Flood|Snow/ice,,,Kph,,,2001,3,20,2001,3,20,2,,100,,100,
2001-0268-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Minnesota, Iowa, Wisconsin, Illinois provinces",Snowmelt,,,63380,Km2,,,2001,4,15,2001,5,15,1,,4400,,4400,13000
2001-0270-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hoisington city (Barton district, Kansas province)",,,,,Kph,,,2001,4,21,2001,4,21,1,32,1707,,1739,
2001-0303-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Florida province,,,,1030,Km2,,,2001,4,,2001,4,,1,10,129,,139,
2001-0332-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",Monsoonal rain,,6430,105100,Km2,,,2001,7,8,2001,7,10,100,,9670000,,9670000,90000
2001-0337-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,Uttar Pradesh province,,,,,Kph,,,2001,5,24,2001,5,24,21,,,,,
2001-0340-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,Alberta province,,,,,Km2,,,2001,5,28,2001,5,28,,,1200,,1200,
2001-0349-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Hosdurg borough (Kanhangad city, Kasaragod district, Kerala province), Vertak Nagar area (Thane district, Maharashtra province), Bhandup area (Mumbai Suburban district, Maharashtra province)",,,,,Km2,,,2001,6,,2001,6,,28,4,,,4,
2001-0351-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)",,,,,Kph,,,2001,6,14,2001,6,14,,,75,18,93,
2001-0387-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",Monsoonal rain,,,4470,Km2,,,2001,7,4,2001,7,16,86,,40000,,40000,116924
2001-0414-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,Rudra Prayag district (Uttarakhand province),,,,,,,,2001,7,16,2001,7,16,27,,,,,
2001-0451-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Oregon, Washington, Idaho, California, Nevada, Colorado, Arizona, Wyoming, Texas, Oklahoma provinces",,,,797,Km2,,,2001,8,,2001,8,,,,,,,
2001-0460-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Virginia province,Heavy rain,"Slide (land, mud, snow, rock)",,8530,Km2,,,2001,7,8,2001,7,9,2,,10500,4500,15000,20000
2001-0465-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Aurangabad, Bhojpur, Gopalganj, Jehanabad, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Purba Champaran, Rohtas, Saran, Sitamarhi, Siwan, Vaishali districts (Bihar province)",,,,,Km2,,,2001,8,,2001,8,,,,400000,,400000,
2001-0473-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Siren city (Burnett district, Wisconsin province)",,,,,Kph,,,2001,6,18,2001,6,18,3,8,360,,368,10000
2001-0474-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Brainerd city (Crow King district, Minnesota province)",,,,,Kph,,,2001,6,13,2001,6,13,,,225,,225,
2001-0477-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Watkins area (Adams district, Colorado province)",,Hail,,,Kph,,,2001,6,21,2001,6,21,,2,120,,122,
2001-0501-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,Chamba district (Himachal Pradesh province),,,,,,,,2001,8,14,2001,8,14,16,,,,,
2001-0502-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,Delhi province,,,,,Km2,,,2001,8,,2001,8,,10,36,,,36,
2001-0515-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",,,,550,Km2,,,2001,8,20,2001,8,20,158,,7000000,,7000000,26000
2001-0527-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Saran, Gopalganj, Purba Champaran, Madhubani districts (Bihar province), Uttar Pradesh province",,,,,Km2,,,2001,9,,2001,9,,48,,2800000,,2800000,26000
2001-0564-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",,,,,Kph,,,2001,10,10,2001,10,10,,7,300,,307,
2001-0566-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Howard, Prince George's districts (Maryland province)",,,,,Kph,,,2001,9,24,2001,9,24,2,50,,1000,1050,30000
2001-0584-IND,Meteorological,Storm,Tropical cyclone,,IND,India,Southern Asia,Asia,Andhra Pradesh province,,,,,Kph,,,2001,10,,2001,10,,78,,25000,2000,27000,
2001-0601-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Pasadena city (Harris district, Texas province)",,,,,Kph,,,2001,10,11,2001,10,11,,,360,,360,4000
2001-0602-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hondo city (Medina district, Texas province)",,,,,Kph,,,2001,10,12,2001,10,12,,2,1800,150,1952,7000
2001-0618-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Amboori village (Thiruvananthapuram district, Kerala province)",,,,,,,,2001,11,9,2001,11,9,55,,,,,
2001-0681-IND,Meteorological,Extreme temperature,Cold wave,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Rajasthan provinces",,,,,°C,,,2001,12,,2001,12,,48,,,,,
2001-0722-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces",,,,283,Km2,,,2001,10,30,2001,10,30,1,,,,,
2001-0724-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Texas province,Heavy rain,,,7730,Km2,,,2001,11,15,2001,11,19,9,,600,,600,
2001-0770-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,,,,°C,,,2001,8,,2001,8,,56,,,,,
2001-0771-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tennesse, Kentucky provinces",,,,,Kph,,,2001,8,,2001,8,,11,,,200,200,
2001-0772-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,District of Columbia province,,,,,Km2,,,2001,8,,2001,8,,,,3600,,3600,
2001-0773-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Jakson town (Dakota district, Nebraska province)",,,,,Kph,,,2001,8,17,2001,8,17,,2,200,,202,3000
2001-0794-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Saran, Gopalganj districts (Bihar province)",,,,,Km2,,,2001,9,7,2001,9,24,146,,,,,103000
2002-0017-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania,",,Transport accident,,114,Kph,,,2002,1,,2002,1,,24,,,,,
2002-0092-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Fallbrok area (San Diego district, Californie province)",,,,23,Km2,,,2002,2,10,2002,2,10,,11,,123,134,6600
2002-0119-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces",,,,,Kph,,,2002,1,30,2002,2,8,28,,,,,400000
2002-0128-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Oklahoma, Missouri, Wisconsin, Michigan, Arkansas provinces",,Transport accident,,,Kph,,,2002,3,,2002,3,,20,,,,,
2002-0165-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces",,"Flood|Slide (land, mud, snow, rock)",,,Kph,,,2002,3,19,2002,3,19,6,4,750,,754,200500
2002-0183-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Tennessee, Virginia, Kentucky, Ohio, Arkansas, Oklahoma, Texas provinces",Heavy rain,,,35390,Km2,,,2002,3,17,2002,3,24,7,,2000,,2000,76000
2002-0184-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Lincoln district (New Mexico province),,,,149,Km2,,,2002,3,,2002,3,,,,,1300,1300,5000
2002-0204-IND,Meteorological,Storm,Tropical cyclone,,IND,India,Southern Asia,Asia,West Bengal province,,,,,Kph,,,2002,4,3,2002,4,3,9,50,,5000,5050,416
2002-0216-IND,Meteorological,Storm,Hail,,IND,India,Southern Asia,Asia,Orissa province,,,,,Kph,,,2002,4,11,2002,4,11,,200,10000,,10200,
2002-0266-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Pike district (Kentucky province), Virginia province",Heavy rain,,,,Km2,,,2002,5,2,2002,5,8,9,,1000,,1000,13000
2002-0283-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Happy town (Randall, Swisher districts, Texas province)",,,,,Kph,,,2002,5,5,2002,5,5,2,3,150,30,183,
2002-0287-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Wayne, Jefferson districts (Illinois province)",,,,,Kph,,,2002,4,21,2002,4,21,1,12,,,12,4000
2002-0290-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",,,,50,°C,,,2002,5,10,2002,5,22,1030,,,,,
2002-0308-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,"Gobalpur area (Hugli district, West Bengal), Kolkata, Jalpaiguri, Darjiling districts (West Bengal province)",,,,80,Kph,,,2002,4,27,2002,4,27,11,,,,,
2002-0310-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)",,,,290,Kph,,,2002,4,27,2002,5,3,10,100,,,100,2200000
2002-0312-USA,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,United States of America,Northern America,Americas,Arizona province,,,,145,Km2,,,2002,4,,2002,4,,,,,,,
2002-0331-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Georgia, Alaska provinces",,,,414,Km2,,,2002,5,,2002,5,,,,,,,
2002-0351-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Colorado province,,,,770,Km2,,,2002,6,8,2002,6,8,,,1500,72,1572,20000
2002-0355-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,Arizona province,,,,,°C,,,2002,6,,2002,6,,14,,,,,
