DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),Date,Index,Temperature (C),Wind Speed (km/h),Precipitation (mm),News Headlines
2000-0297-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Franklin, Jefferson, Gasconade districts (Missouri province)",,,,,Km2,,,2000,5,23,2000,5,23.0,2.0,,300.0,,300.0,100000.0,2000-05-23,11,,,,"['NWS Louisville -- May 23, 2000 Severe Weather Event', 'Kashmir Witnesses Record-Breaking May Temperature']"
2000-0338-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",,,,,Kph,,,2000,5,26,2000,5,26.0,,,,,,28500.0,2000-05-26,13,,,,"['Back Stories | My Album Reviews From May 26, 2000', 'NASA images reveal a man-made scar in the Amazon so big you can see it from space']"
2000-0360-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)",,,,,Kph,,,2000,5,23,2000,5,23.0,,,,,,,2000-05-23,15,,,,"['NWS Louisville -- May 23, 2000 Severe Weather Event', 'Kashmir Witnesses Record-Breaking May Temperature']"
2000-0363-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Park, Jefferson, Larimer districts (Colorado province)",,,,85.0,Km2,,,2000,6,12,2000,6,12.0,,,800.0,210.0,1010.0,,2000-06-12,16,,,,"['The Pitfalls of Saudi Arabia’s Security-Centric Strategy in Yemen', 'Parliamentary career for Sir Jeffrey M Donaldson']"
2000-0406-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Hanford area (Benton district, Washington province)",,,,607.0,Km2,,,2000,6,27,2000,6,27.0,,2.0,8000.0,75.0,8077.0,,2000-06-27,17,,,,['Coral Reefs of Southwest Madagascar']
2000-0420-CAN,Meteorological,Storm,Tornado,,CAN,Canada,Northern America,Americas,"Pine Lake area (Division No. 8 district, Alberta province)",,,,300.0,Kph,,,2000,7,14,2000,7,14.0,11.0,140.0,,700.0,840.0,13000.0,2000-07-14,19,,,,"['GLOBAL FOREST FIRE ASSESSMENT 1990-2000 - FRA WP 55', 'A Violent Sun Affects the Earth’s Ozone', ""Canada's fourth-deadliest tornado tore up a campsite near Red Deer, Alberta"", 'Alberta tornado changed alert system', 'July 14, 2000: Powerful tornado rips through Green Acres campground on Pine Lake killing 12', 'IN PHOTOS: A look back at the Pine Lake tornado 20 years later', 'Pine Lake tornado 20 years later: How did so much go wrong?']"
2000-0433-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Alabama provinces",,,,38.0,°C,,,2000,7,1,2000,7,,35.0,,,,,,2000-07-01,20,,,,"['Category 5 Hurricane Beryl makes explosive start to 2024 Atlantic season', 'Hurricane Beryl broke records. Climate change is a main contributor, NOAA says', 'Climate change, urbanization spur scorching Phoenix heat wave', 'Detergent-like Molecule Recycles Itself in Atmosphere', 'ESDI: ""Separable but not separate""?', 'China: The Forgotten Nuclear Power', 'The OSCEs Istanbul Charter for European Security']"
2000-0450-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Alaska province,,,,2363.0,Km2,,,2000,7,1,2000,7,,,,,,,,2000-07-01,23,,,,"['Category 5 Hurricane Beryl makes explosive start to 2024 Atlantic season', 'Hurricane Beryl broke records. Climate change is a main contributor, NOAA says', 'Climate change, urbanization spur scorching Phoenix heat wave', 'Detergent-like Molecule Recycles Itself in Atmosphere', 'ESDI: ""Separable but not separate""?', 'China: The Forgotten Nuclear Power', 'The OSCEs Istanbul Charter for European Security']"
2000-0463-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Granite Falls city (Yellow Medicine, Minnesota province)",,,,,Kph,,,2000,7,25,2000,7,25.0,1.0,15.0,900.0,120.0,1035.0,8100.0,2000-07-25,24,,,,['Continental Airlines cleared in Concorde crash case']
2000-0465-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,,680000.0,Km2,,,2000,7,1,2000,8,,14.0,,1000.0,,1000.0,1000000.0,2000-07-01,25,,,,"['Category 5 Hurricane Beryl makes explosive start to 2024 Atlantic season', 'Hurricane Beryl broke records. Climate change is a main contributor, NOAA says', 'Climate change, urbanization spur scorching Phoenix heat wave', 'Detergent-like Molecule Recycles Itself in Atmosphere', 'ESDI: ""Separable but not separate""?', 'China: The Forgotten Nuclear Power', 'The OSCEs Istanbul Charter for European Security']"
2000-0500-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Morris, Sussex districts (New Jersey province)",Heavy rain,"Slide (land, mud, snow, rock)",,,Km2,,,2000,8,12,2000,8,14.0,,,175.0,,175.0,166000.0,2000-08-12,27,,,,"['International Youth Day – August 12 – World Day', 'Figure 2. Mapping of the vegetation cover of the Brazilian Pantanal...', 'On This Day: The Kursk submarine disaster', 'UN calls for empowering youth with green skills on International Youth Day']"
2000-0502-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Pennsylvania province,,,,,Km2,,,2000,7,30,2000,7,30.0,,,300.0,,300.0,,2000-07-30,28,,,,[]
2000-0598-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",,,,4.9,Moment Magnitude,38.3788333,-122.4133333,2000,9,3,2000,9,3.0,,70.0,25000.0,104.0,25174.0,50000.0,2000-09-03,30,,,,"['Kjer Glacier, Then and Now']"
2000-0614-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Xenia city (Greene district, Ohio province)",,,,,Kph,,,2000,9,20,2000,9,20.0,1.0,115.0,,,115.0,90000.0,2000-09-20,32,,,,"['Pia02970 Global View Of The Arctic Ocean', 'The world is stuck between gas prices and climate change', 'A Distant Sense of Data Security', 'UK | Britain braced for more rain']"
2000-0652-USA,Meteorological,Storm,Tropical cyclone,Leslie,USA,United States of America,Northern America,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,,,,Kph,,,2000,10,4,2000,10,4.0,2.0,,14418.0,3015.0,17433.0,219000.0,2000-10-04,33,,,,['World Space Week 2024 – 4th to 10th October']
2000-0756-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Buffalo city (Erie district, New York province)",,,,,Kph,,,2000,11,20,2000,11,20.0,,,,,,,2000-11-20,35,,,,"['Unusually warm lakes lead to mammoth snowfall', 'SCI/TECH | How it works: Wave power station', 'ASIA-PACIFIC | Floods chaos spreads']"
2000-0838-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, New Mexico, Arkansas, Missouri, Minnesota provinces",,Transport accident,,,Kph,,,2000,12,24,2000,12,24.0,57.0,34.0,,,34.0,,2000-12-24,37,,,,"['Horoscope - December 24, 2000']"
2000-0865-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Maui district (Hawaii province),Heavy rains,,,86.0,Km2,,,2000,11,2,2000,11,2.0,,,100.0,,100.0,20000.0,2000-11-02,38,,,,"['The International Space Station: 20 Years of Promise, Peril and Fun (Published 2020)', 'November 2, 2000: The first residents move into the International Space Station', 'Making the Memorial | Maya Lin', 'UK | Blair pledges cash to fight floods', ""BUSINESS | Revolution at the Queen's bank""]"
2000-0919-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Alabama, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, New York, Pennsylvania, Massachussetts provinces",,Cold wave,,,Kph,,,2000,1,22,2000,1,25.0,4.0,,,,,350000.0,2000-01-22,39,,,,"['Disintegration of the Ninnis Glacier Tongue', 'Why China changed its stand on Masood Azhar']"
2000-0937-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tuscaloosa district (Alabama province), Connecticut, Florida, Georgia, Massachusetts, Mississippi, Norh Carolina, New Jersey, New York, Pennsylvania, Rhode Island provinces",,,,,Kph,,,2000,12,16,2000,12,17.0,12.0,75.0,,,75.0,500000.0,2000-12-16,40,,,,"['December 16, 2000 Storm Survey and Summary', 'Tuscaloosa Tornado - December 16, 2000', 'Five Deadliest December Tornadoes', 'St. Clair, Etowah and Cherokee Tornadoes - December 16, 2000']"
2001-0052-CAN,Meteorological,Storm,Storm (General),,CAN,Canada,Northern America,Americas,Quebec province,,,,120.0,Kph,,,2001,2,10,2001,2,10.0,11.0,,,30.0,30.0,,2001-02-10,43,,,,[]
2001-0099-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",,,,6.8,Moment Magnitude,47.149,-122.7266667,2001,2,28,2001,2,28.0,1.0,400.0,,,400.0,2000000.0,2001-02-28,44,,,,"['Opinion | Coronavirus is not our first apocalypse', ""Two decades later: What's changed since the Nisqually earthquake?""]"
2001-0102-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)",,,,,Kph,,,2001,2,24,2001,2,24.0,7.0,30.0,900.0,,930.0,250000.0,2001-02-24,45,,,,[]
2001-0106-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces",,Transport accident,,,Kph,,,2001,2,22,2001,2,22.0,11.0,100.0,,,100.0,,2001-02-22,46,,,,['Indonesian Workers in Nike Plants List Abuses']
2001-0145-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)",,Hail,,,Kph,,,2001,4,10,2001,4,11.0,4.0,18.0,765.0,30.0,813.0,23000.0,2001-04-10,47,,,,"[""Central Asia's Security Challenges"", 'Record Hailstorms and Hailstones in the U.S.', 'Figure 3. Location of the study area in Ca Mau Province (SPOT Scene...']"
2001-0194-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Marion, Clay districts (Florida province)",,,,,Kph,,,2001,3,29,2001,3,29.0,,,492.0,,492.0,1800.0,2001-03-29,48,,,,['Croc expert among winners']
2001-0242-USA,Meteorological,Storm,Tropical cyclone,Allison,USA,United States of America,Northern America,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Flood,,,Kph,,,2001,6,5,2001,6,17.0,41.0,,102000.0,70000.0,172000.0,6000000.0,2001-06-05,49,,,,"['Running the Well Dry: Greece’s Looming Water Crisis', 'Timeline of Events: 2001']"
2001-0262-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",Ice jam/break,,,24.0,Km2,,,2001,2,27,2001,3,1.0,,,200.0,,200.0,,2001-02-27,51,,,,['Why did George W Bush pull out of the Kyoto Protocol?']
2001-0266-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces",,Flood|Snow/ice,,,Kph,,,2001,3,20,2001,3,20.0,2.0,,100.0,,100.0,,2001-03-20,52,,,,[]
2001-0268-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Minnesota, Iowa, Wisconsin, Illinois provinces",Snowmelt,,,63380.0,Km2,,,2001,4,15,2001,5,15.0,1.0,,4400.0,,4400.0,13000.0,2001-04-15,53,,,,"['Putin officially divorces his wife', 'Russian Network Seized In Raid']"
2001-0270-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hoisington city (Barton district, Kansas province)",,,,,Kph,,,2001,4,21,2001,4,21.0,1.0,32.0,1707.0,,1739.0,,2001-04-21,54,,,,"['Mississippi River: Monitor Latest Stages & Forecasts', 'Mississippi River Spring Flood - 2023', 'Québec City, April 2001: The Revolutionary Anti-Capitalist Offensive : Anarchists Confront the Summit of the Americas', 'Info on the 2001 Hoisington tornado']"
2001-0303-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Florida province,,,,1030.0,Km2,,,2001,4,1,2001,4,,1.0,10.0,129.0,,139.0,,2001-04-01,55,,,,"['Climate change levy tax receipts in the UK 2001-2024', '17 godowns built for agricultural produce in 23 years in JK: Data']"
2001-0340-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,Alberta province,,,,,Km2,,,2001,5,28,2001,5,28.0,,,1200.0,,1200.0,,2001-05-28,58,,,,"['Weather History Reports: Memorial Day', 'Japan’s Misguided Plutonium Policy']"
2001-0351-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)",,,,,Kph,,,2001,6,14,2001,6,14.0,,,75.0,18.0,93.0,,2001-06-14,60,,,,"['Shanghai Cooperation Organisation: List of SCO Summits Till 2024', 'Greenpeace activists scale CN Tower', 'WALES | Mail order sofa giant expands']"
2001-0451-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Oregon, Washington, Idaho, California, Nevada, Colorado, Arizona, Wyoming, Texas, Oklahoma provinces",,,,797.0,Km2,,,2001,8,1,2001,8,,,,,,,,2001-08-01,63,,,,['Is Bill Maher a libertarian?']
2001-0460-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Virginia province,Heavy rain,"Slide (land, mud, snow, rock)",,8530.0,Km2,,,2001,7,8,2001,7,9.0,2.0,,10500.0,4500.0,15000.0,20000.0,2001-07-08,64,,,,[]
2001-0473-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Siren city (Burnett district, Wisconsin province)",,,,,Kph,,,2001,6,18,2001,6,18.0,3.0,8.0,360.0,,368.0,10000.0,2001-06-18,66,,,,"['June 18, 2001 - Siren, WI, Tornado and Severe Weather Outbreak', 'Thuraya Satellite Begins Commercial Mobile Phone Service', 'A different breed of protester / Opposition to clear-cutting of timber grows among Humboldt County residents', 'Game Boy Advance Too Dark?']"
2001-0474-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Brainerd city (Crow King district, Minnesota province)",,,,,Kph,,,2001,6,13,2001,6,13.0,,,225.0,,225.0,,2001-06-13,67,,,,[]
2001-0477-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Watkins area (Adams district, Colorado province)",,Hail,,,Kph,,,2001,6,21,2001,6,21.0,,2.0,120.0,,122.0,,2001-06-21,68,,,,"['Solar eclipses can make their own weather. Here’s how.', '6 Ways Weather Could Change During the Great American Eclipse', 'MRI flies high for detection of neurological jet lag markers', 'Catoca Diamond Mine, Angola']"
2001-0564-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",,,,,Kph,,,2001,10,10,2001,10,10.0,,7.0,300.0,,307.0,,2001-10-10,73,,,,"['Timeline of Events: 2001', 'US says Iran-based Saif al-Adel is new al Qaeda chief', 'Health Problems Persist Among 9/11 First Responders']"
2001-0566-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Howard, Prince George's districts (Maryland province)",,,,,Kph,,,2001,9,24,2001,9,24.0,2.0,50.0,,1000.0,1050.0,30000.0,2001-09-24,74,,,,"[""Topper's Blog: College Park Tornado 9-24-2001"", 'France - Le Monde', 'Only three serious tornadoes have hit D.C. in the past 50 years. Two were on the same day in 2001.']"
2001-0601-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Pasadena city (Harris district, Texas province)",,,,,Kph,,,2001,10,11,2001,10,11.0,,,360.0,,360.0,4000.0,2001-10-11,76,,,,"['President Holds Prime Time News Conference', 'Historical footprints and future projections of global dust burden from bias-corrected CMIP6 models', 'Clouds in the Balance', 'Scientists Track ""Perfect Storm"" on Mars', 'How 9/11 and the War on Terror Shaped the World', 'How 9/11 changed TV, art, sports, education, millennials, bigotry, country music, fiction, policing, love — and more', 'On the Road: Interview with Commander Abdul Haq', 'Post 9/11, Afghanistan and Iraq']"
2001-0602-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hondo city (Medina district, Texas province)",,,,,Kph,,,2001,10,12,2001,10,12.0,,2.0,1800.0,150.0,1952.0,7000.0,2001-10-12,77,,,,"['Phenotypic Plasticity in the Interactions and Evolution of Species', ""Groover's Paradise: The ballad of soap creek saloon - Music"", '12 October in Indian and World History']"
2001-0722-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces",,,,283.0,Km2,,,2001,10,30,2001,10,30.0,1.0,,,,,,2001-10-30,80,,,,['What’s on TV Tuesday: ‘Finding Your Roots’ on PBS; the series finale of ‘black-ish’ on ABC']
2001-0724-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Texas province,Heavy rain,,,7730.0,Km2,,,2001,11,15,2001,11,19.0,9.0,,600.0,,600.0,,2001-11-15,81,,,,"['This Day in History on November 15: First iPod Launched', 'Timeline of Events: 2001', '15 Years Ago Today: Historic Texas Flood', 'It Was Shoes On, No Boarding Pass Or ID. But Airport Security Forever Changed On 9/11', 'America and the War | Tony Judt', 'TABLE 2 . Body mass of woodland migrants mist-netted in Big Falls,...']"
2001-0770-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,,,,°C,,,2001,8,1,2001,8,,56.0,,,,,,2001-08-01,82,,,,['Is Bill Maher a libertarian?']
2001-0771-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tennesse, Kentucky provinces",,,,,Kph,,,2001,8,1,2001,8,,11.0,,,200.0,200.0,,2001-08-01,83,,,,['Is Bill Maher a libertarian?']
2001-0772-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,District of Columbia province,,,,,Km2,,,2001,8,1,2001,8,,,,3600.0,,3600.0,,2001-08-01,84,,,,['Is Bill Maher a libertarian?']
2001-0773-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Jakson town (Dakota district, Nebraska province)",,,,,Kph,,,2001,8,17,2001,8,17.0,,2.0,200.0,,202.0,3000.0,2001-08-17,85,,,,"['Results of the Jackson, Nebraska Tornado Damage Survey - August 17, 2001', 'Figure 2. Locations of major offshore oil and gas fields off Sakhalin...', 'Rat Race - Movie Review']"
2002-0017-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania,",,Transport accident,,114.0,Kph,,,2002,1,1,2002,1,,24.0,,,,,,2002-01-01,87,,,,"['Lake Effect Snow Event Archive', 'President Delivers State of the Union Address', 'Hydrological impacts of a wildfire in a Boreal region: The Västmanland fire 2014 (Sweden)', 'Nickels, Gregory James (b. 1955)', 'Most expensive NAT CAT events of 2022', 'Ready to Jangle Some New Loose Change?', 'Williamsburg. What Happened? (Published 2024)', 'Been there, Dunn that: Veteran Randy Clark talks about the growth of his dealership in an uncertain environment, and the importance of partnering with his suppliers and customers', 'A systematic review of outdoor airborne fungal spore seasonality across Europe and the implications for health', 'January 2002 Snow Storm', 'Environmental Sustainability with Maurice Strong (2002)']"
2002-0092-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Fallbrok area (San Diego district, Californie province)",,,,23.0,Km2,,,2002,2,10,2002,2,10.0,,11.0,,123.0,134.0,6600.0,2002-02-10,88,,,,[]
2002-0119-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces",,,,,Kph,,,2002,1,30,2002,2,8.0,28.0,,,,,400000.0,2002-01-30,89,,,,"['FAO/WHO Global Forum of Food Safety Regulators Marrakech, Morocco, 28 - 30 January 2002', 'January 30-31, 2002 Snow Totals', 'What’s the best country in the world? Not the U.S., says new report', 'Opinion | Stock Option Madness']"
2002-0128-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Oklahoma, Missouri, Wisconsin, Michigan, Arkansas provinces",,Transport accident,,,Kph,,,2002,3,1,2002,3,,20.0,,,,,,2002-03-01,90,,,,"['March 1-2, 2002 Snow Totals', 'Shadow Government Is at Work in Secret']"
2002-0165-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces",,"Flood|Slide (land, mud, snow, rock)",,,Kph,,,2002,3,19,2002,3,19.0,6.0,4.0,750.0,,754.0,200500.0,2002-03-19,91,,,,"['Pia03858 Dongting Lake China', 'Satellite spies on doomed Antarctic ice shelf', 'Giant Antarctic ice sheet breaks off', 'Largest British Troop Deployment heads to Afghanistan', 'Monsoon Variability and Agricultural Drought Management in India']"
